DATE,PLXS,BWINB,HGIC,WTS,HTLD,PLAB,OFG,WSBC,CCC,SUR,BRY,CNMD,ACO,IMKTA,CBM,AIN,CHFC,COKE,GNCMA,LNN,VWMKT,RiskFree
1/7/1997,0.298507458,0.027210886,0.008196721,-0.010471202,0.035897436,0.100917431,0.029940121,-0.009615384,0.010204082,-0.032608696,5.25E-10,0.006097559,0.023809521,0.074999999,0.019083969,-0.005405405,-0.119496854,-0.005128206,-0.046153848,0.053475938,0.014145696,0.000935177
1/14/1997,0.149425288,-0.026490066,-0.020325203,0.005291006,0.004950496,0.125000001,-0.023255814,0.009708738,-0.010101009,-0.02247191,0.069565217,0.042424241,0.124031006,0.03255814,0.037453184,-0.010869566,0.035714285,-0.010309278,-0.016129032,0.005076142,0.019926313,0.000935177
1/21/1997,0.149999997,0.013605442,-0.029045643,1.06E-09,0.014778324,0.133333335,0.029761904,0.007692308,-0.040816327,0.022988508,0.00813008,-0.084302326,-0.048275861,0.013513514,0.010830325,-0.005494506,-0.034482758,-0.005208333,-0.049180326,-0.030303031,0.016402236,0.000935177
1/28/1997,0.065217392,-0.033557046,-0.004273506,0.005263158,-0.024271844,-0.049019609,0.005780346,-0.015267176,-0.031914892,-0.033707866,-0.016129032,0.009523811,0.014492754,0.040000001,1.58E-10,0.049723758,-0.017857142,-0.036649214,-0.017241379,0.072916664,-0.01943342,0.000935177
2/4/1997,0.110204086,-0.006944444,0.030042917,0.020942409,-0.024875619,-0.003436426,-0.005747126,0.023255813,0.010989013,0.023255814,-0.032786885,8.57E-10,0.142857143,-0.00854701,0.060714286,-0.010526317,0.069090906,0.005434782,-0.01754386,0.009708738,0.023614669,0.000953413
2/11/1997,-0.110294117,0.020979021,0.029166667,0.005128203,-0.102040818,0.003448273,-0.005780347,-0.030303031,-0.032608695,-0.011363637,-0.016949153,-0.056603775,-0.056250003,-0.025862069,-0.018891254,0.037234042,-0.074829931,-0.010810811,-0.125000003,0.01923077,-0.00364404,0.000953413
2/18/1997,0.061983474,-0.008275667,-0.004048584,0.020408163,-0.034090909,-0.003436425,0.023255814,0.019531251,-0.033707867,0.011494253,0.01724138,0.080000003,-0.026490066,-0.008849558,-0.030927835,-0.015384616,0.014705883,-0.027322405,0.081632655,-0.055687856,0.030620152,0.000953413
2/25/1997,-0.050583658,0.006944444,-0.016260161,0.03,-0.011764704,-0.034482761,0.119318182,-0.015325671,0.046511629,0.011363637,-0.016949153,-0.043209879,0.038007038,0.035714287,-0.039007092,-0.053145725,0.057971016,-0.016949153,0.094339623,0.005,-0.005203096,0.000953413
3/4/1997,-0.114754099,-0.027586206,0.008264463,0.017631542,-0.011904765,-2.98E-11,0.055837565,0.027237354,0.044444446,-0.011235956,-0.00862069,0.032258067,0.02631579,-9.97E-10,0.011070111,-0.02762431,-0.047945204,0.005747124,0.034482759,-0.069651743,-0.022248537,0.000953413
3/11/1997,0.078703704,-0.014184397,0.024590164,-0.009569378,0.006024094,-0.049999999,-0.038461539,1.01E-10,-0.014393265,0.068181819,0.008695653,-0.037500001,0.012820513,0.00862069,0.032846715,0.022727272,-0.030060389,0.045714286,9.33E-10,0.114973262,0.022575685,0.000970114
3/18/1997,-0.141630905,0.01438849,0.006774194,-0.004830917,-0.005988026,-0.056390978,0.040000001,0.004900888,-0.032608696,0.106382981,-0.001724137,-0.123376622,-0.101265825,0.008547008,0.003533569,-0.050000001,0.022388058,-0.010928961,0.016666666,-7.05E-10,-0.028368331,0.000970114
3/25/1997,0.119999998,-0.010638297,0.028,-0.04854369,-0.08433735,-0.067729086,-0.01923077,0.011406845,-0.011235955,-0.048076923,-0.008695652,-0.103703707,0.028169014,-0.008474577,-0.003521127,-0.023391813,-0.065693429,-0.016574587,-0.065573766,-0.093525181,-0.002378978,0.000970114
4/1/1997,0.044642857,0.007168459,0.027237353,-0.056122449,0.039473683,-0.051282052,-0.023645893,-0.037593985,0.011363637,-0.060606059,0.00877193,-0.033057852,-0.027397261,-0.008547009,-0.063604242,-0.017964072,0.031250001,-0.033707864,-0.070175439,0.031746033,-0.035919772,0.000970114
4/8/1997,-0.008547014,0.007117438,0.007575759,-0.027027028,0.069620254,0.117117118,-0.005050505,0.015624999,0.044943821,-4.58E-10,-0.008695651,0.017094015,0.014084507,-0.014582578,0.041509435,-0.018292682,-0.00757576,0.017441861,0.037735848,-0.061538462,0.011466915,0.001002173
4/15/1997,-0.034482759,-4.80E-10,0.007518798,-0.016666667,0.112426035,0.016129032,-0.030456853,0.030769231,0.010752689,-0.010752688,0.008771931,-0.016806723,0.01388889,-0.026548673,0.018115941,-0.01863354,0.083969467,-0.017142858,0.018181817,-0.016393444,-0.016646268,0.001002173
4/22/1997,-0.062499999,2.41E-11,-0.029850746,0.118644067,-0.021276595,-0.019841269,-0.036649214,-0.014925373,0.031914894,0.010869567,0.017391304,-2.44E-09,3.22E-10,0.018181816,-0.014234875,0.025316456,0.028169015,0.020348838,-0.035714288,-0.004166669,0.015892436,0.001002173
4/29/1997,-2.37E-09,0.003533569,-0.007692308,0.025252526,-0.048913042,0.09311741,0.010869565,0.03787879,0.01030928,0.021505376,0.025641027,0.017094017,-0.089041093,-0.026785715,-0.036101082,-0.006172839,-0.027397261,-0.071225072,-0.037037038,-0.046025102,0.020185992,0.001002173
5/6/1997,0.342857152,3.45E-10,0.015503877,0.014778325,-0.028571425,0.166666665,-0.021505376,0.007299271,0.06122449,3.25E-10,0.06666667,0.109243696,0.037593985,-9.90E-11,0.06741573,0.049689441,-0.042253521,-0.003067482,0.134615385,0.065789475,0.047134334,0.000957444
5/13/1997,0.007092199,0.014084506,0.015267177,-0.038834951,0.052941178,0.060317462,0.021978024,0.003623189,0.009615385,-1.58E-09,-0.015625002,-0.015151514,0.065217393,0.027522936,-0.051278195,0.00591716,0.029411765,0.040000001,-0.067796609,-0.019423869,0.007058502,0.000957444
5/20/1997,-0.077464789,-0.004861111,0.015037594,0.025252525,-0.016759777,0.098802397,0.021505376,0.007220216,0.00952381,0.010526318,-0.015873016,-0.019230768,-0.020408163,0.008928572,0.011111109,0.023529412,0.003571427,0.023668639,1.29E-10,0.109243697,0.010702622,0.000957444
5/27/1997,0.137404578,0,0.05925926,3.63E-10,-0.028409091,0.024523161,0.05263158,0.053763442,0.056603772,1.66E-09,-0.008064516,0.058823533,0.060214558,0.017699115,0.025641026,0.022988506,-0.007117437,0.049418604,-0.027272727,0.113636363,0.012778573,0.000957444
6/3/1997,-0.006711411,-0.010526316,0.017482518,-0.011724138,-0.005847953,-0.042553191,0.005,0.034013607,-0.044642858,0.031250001,3.53E-09,0.074074074,-0.046052632,0.017391305,0.057142857,0.056179777,-0.039426522,-0.008310251,0.04672897,-0.07142857,0.000866067,0.000957444
6/10/1997,0.081081082,0.007092198,0.044673542,-0.005,0.105882355,-0.055555557,0.014925373,3.80E-09,0.024672896,0.02020202,-0.024390243,2.62E-11,0.006896551,0.034188035,0.067567567,0.015178064,0.006268656,0.058659221,0.013392858,0.025641023,0.020046236,0.000846879
6/17/1997,0.109375,0.04225352,-0.005977632,-0.005025126,-0.061170212,-0.052941177,-0.014705882,-0.025749246,-0.018348624,-0.00990099,0.015055559,-0.089655175,0.027397261,-0.020661157,-0.037974684,-8.04E-10,0.044776121,-0.007915568,0.110132159,-0.028571428,0.028999792,0.000846879
6/24/1997,0.135211266,0.0777027,0.008319467,-0.025252525,0.053824363,0.071428574,0.03482587,0.020408164,0.037383176,-0.01,-0.016528925,0.045454544,-0.013333333,0.021097049,0.014802632,-0.015789476,0.014285712,0.015957447,0.063492064,-0.040441178,0.003267804,0.000846879
